Time (s),Speed (km/h),Acceleration (m/s²),Power Demand (kW),Engine Power (kW),Battery Power (kW),Fuel Consumption (L/100km),SOC (%),Battery Degradation (%),Regenerative Braking Power (kW),Total Energy Used (kWh),Driving Cycle Type,Target Efficiency
0,57.450712295168486,-0.21187984101135163,43.21505269512778,22.336934835365128,20.878117859762654,4.376824275441876,99.97912188214023,0.0020878117859762656,2.8321562704075776,46.04720896553536,WLTC,High Efficiency
1,47.92603548243223,-0.22670705419192702,46.94500536946347,18.99076788205549,27.954237487407983,2.9955021661768324,99.95116764465283,0.004883235534717064,2.873573707628548,49.818579077092025,HWFET,High Efficiency
2,59.715328071510385,-0.8978215863150075,44.02618938954857,29.474737782240048,14.551451607308522,2.0918001359276333,99.93661619304552,0.006338380695447916,2.3365604625771574,46.36274985212573,Urban,High Efficiency
3,72.84544784612038,-0.16504509585071864,51.1041804694612,28.5219176465682,22.582262822893,3.296833708494315,99.91403393022263,0.008596606977737216,3.4390320058308967,54.543212475292094,Highway,High Efficiency
4,46.48769937914996,0.3664145409108725,61.971785314619126,40.587843105744085,21.38394220887504,5.963711669858928,99.89264998801376,0.01073500119862472,0.0,61.971785314619126,WLTC,Low Efficiency
5,46.487945645762295,-0.6371160595383976,42.28957842858795,17.67583473683204,24.61374369175591,3.092683891809849,99.868036244322,0.013196375567800312,5.052245503229952,47.341823931817906,WLTC,High Efficiency
6,73.68819223261087,0.5242413255252962,60.008204977684144,28.098087866202384,31.91011711148176,4.4895954830687455,99.83612612721052,0.016387387278948486,0.0,60.008204977684144,Urban,High Efficiency
7,61.51152093729363,0.2438874105421691,42.183279276531124,20.155761343760563,22.02751793277056,7.920047693548343,99.81409860927775,0.018590139072225544,0.0,42.183279276531124,HWFET,Low Efficiency
8,42.95788421097572,-0.36711666098551893,41.523727875031156,21.426552868503492,20.097175006527664,4.926238804959365,99.79400143427122,0.02059985657287831,1.0583041207856803,42.582031995816834,WLTC,Low Efficiency
9,58.13840065378947,-0.07076481866892372,58.18594618343214,37.28904033441616,20.89690584901598,5.51379648459439,99.7731045284222,0.022689547157779908,9.04035739738738,67.22630358081952,WLTC,Low Efficiency
10,43.04873460781307,0.7991609038205165,59.219363780076165,30.55525891599787,28.664104864078293,3.5809399726226703,99.74444042355812,0.02555595764418774,0.0,59.219363780076165,Urban,High Efficiency
11,43.01405369644615,0.3667739067529329,58.51409936762654,26.998174837948824,31.51592452967772,8.245212280550213,99.71292449902845,0.028707550097155508,0.0,58.51409936762654,HWFET,Low Efficiency
12,53.629434073490515,0.004391827449073908,36.84202591781859,15.455122223869441,21.386903693949147,4.188058266292357,99.6915375953345,0.030846240466550424,0.0,36.84202591781859,Urban,High Efficiency
13,21.300796330133032,-0.11884165848049215,45.340490219279495,19.217454539321334,26.12303567995816,4.657842973322725,99.66541455965454,0.03345854403454624,8.36356047227121,53.704050691550705,Urban,Low Efficiency
14,24.126232512304508,0.03830453522582981,58.22988592003321,36.569192997097595,21.660692922935617,6.975588016951047,99.6437538667316,0.0356246133268398,0.0,58.22988592003321,HWFET,Low Efficiency
15,41.56568706138541,-0.2558817789711517,50.415418405638945,26.893646032613034,23.52177237302591,4.727398632719572,99.62023209435857,0.03797679056414239,0.7615289337760223,51.176947339414966,WLTC,Low Efficiency
16,34.80753319498364,-1.0523747528595073,39.26307153802536,24.25885901800518,15.004212520020179,5.071833174012823,99.60522788183856,0.03947721181614441,0.317333616738007,39.58040515476336,Highway,Low Efficiency
17,54.71370998892911,1.0210889552673654,54.58317939125442,33.00569186557293,21.57748752568149,4.577467518816306,99.58365039431287,0.041634960568712555,0.0,54.58317939125442,Highway,Low Efficiency
18,36.37963886718184,0.07766249959970073,42.851927410085295,18.880933679654422,23.970993730430873,4.587751432914159,99.55967940058244,0.04403205994175564,0.0,42.851927410085295,Highway,Low Efficiency
19,28.815444479970626,0.19907363256126856,67.94524848392211,30.09066625178322,37.854582232138895,5.555753016242138,99.52182481835031,0.04781751816496953,0.0,67.94524848392211,Urban,Low Efficiency
20,71.98473153382331,-0.02895387493845436,65.44841462418259,41.010147072432716,24.438267551749874,5.829414783797159,99.49738655079855,0.05026134492014452,8.186470356007954,73.63488498019055,WLTC,Low Efficiency
21,46.61335549270196,-0.367558400362294,56.040974263555675,34.542563067122764,21.49841119643291,4.035127353181149,99.47588813960212,0.05241118603978781,2.4810808569480214,58.522055120503694,WLTC,High Efficiency
22,51.012923070318855,-0.09296224047438537,63.61006704769774,32.657995547169335,30.952071500528405,3.8508793157796055,99.4449360681016,0.05550639318984065,3.0865247673491325,66.69659181504687,WLTC,High Efficiency
23,28.628777206798148,-0.7996973810971556,50.64791350123381,21.435548229398954,29.212365271834855,4.086295866713655,99.41572370282975,0.05842762971702414,8.453361850586672,59.10127535182048,WLTC,High Efficiency
24,41.834259132122256,1.1385432490266523,57.654374943750156,23.27100114122412,34.38337380252604,2.8981189787003476,99.38134032902724,0.06186596709727675,0.0,57.654374943750156,Urban,High Efficiency
25,51.663838845647994,-0.617255999211198,64.77720295302075,31.510681540490335,33.26652141253041,2.614354612221054,99.3480738076147,0.06519261923852979,8.276651670524876,73.05385462354562,Highway,High Efficiency
26,32.73509633866546,-0.5159831419235897,52.45498681794313,21.12712099901209,31.32786581893104,5.445750720837362,99.31674594179577,0.0683254058204229,3.7447600346631638,56.199746852606296,Highway,Low Efficiency
27,55.63547027518508,-0.2201296021932002,47.44812828485716,22.25420588623142,25.19392239862574,6.407893704762667,99.29155201939714,0.07084479806028547,3.9836998082710853,51.431828093128246,HWFET,Low Efficiency
28,40.99041965121793,0.6440378624261888,32.953780418228845,17.328752750754212,15.625027667474633,6.3065679397178265,99.27592699172968,0.07240730082703295,0.0,32.953780418228845,WLTC,Low Efficiency
29,45.62459375310085,0.007254499631327068,49.16866474278506,21.458421214847668,27.710243527937394,1.4270130902950124,99.24821674820173,0.07517832517982667,0.0,49.16866474278506,Highway,High Efficiency
30,40.97440081655905,-0.6180678980152312,58.234231845623114,25.11545327602045,33.11877856960267,4.632402369435109,99.21509796963213,0.07849020303678694,8.967836940126094,67.2020687857492,Highway,Low Efficiency
31,77.78417276763406,0.6271691803786698,59.4563342756763,39.772198860867505,19.684135414808793,3.3468620666111617,99.19541383421732,0.08045861657826782,0.0,59.4563342756763,WLTC,High Efficiency
32,49.79754162893099,0.3655003133927407,55.043650657184095,31.68538258720984,23.358268069974255,5.215606156731285,99.17205556614735,0.08279444338526525,0.0,55.043650657184095,WLTC,Low Efficiency
33,34.13433606566149,0.2692174786082262,44.5870090503776,30.334178869011723,14.25283018136588,4.373264721785928,99.15780273596599,0.08421972640340183,0.0,44.5870090503776,Highway,High Efficiency
34,62.338173681547836,0.3578671205854202,30.231784310524095,15.229196321961028,15.002587988563066,5.8878678593668825,99.14280014797743,0.08571998520225814,0.0,30.231784310524095,HWFET,Low Efficiency
35,31.687345250434667,1.1971809502912254,45.04784901995265,27.17031647840989,17.87753254154276,4.971270364397988,99.12492261543588,0.08750773845641242,0.0,45.04784901995265,WLTC,Low Efficiency
36,53.132953925071334,1.092547447518056,46.956551289460485,21.66610505115529,25.290446238305194,2.1559971576231662,99.09963216919758,0.09003678308024295,0.0,46.956551289460485,Highway,High Efficiency
37,20.604948141803366,-0.34335767150164764,46.87071032809986,27.44289909986399,19.42781122823587,3.549371190800689,99.08020435796934,0.09197956420306654,1.7736677088639974,48.64437803696386,HWFET,High Efficiency
38,30.077209266523543,0.8119424964055761,56.18556356977925,24.658479609275368,31.52708396050388,5.008677672239981,99.04867727400882,0.09513227259911691,0.0,56.18556356977925,Urban,Low Efficiency
39,52.952918538036855,0.19158409487945016,69.85676411014839,27.986309660100197,41.87045445004819,5.135165643846629,99.00680681955878,0.09931931804412174,0.0,69.85676411014839,HWFET,Low Efficiency
40,61.07699869993115,0.2495479080688747,51.23529201841093,34.812307968261216,16.422984050149715,2.8914847884439974,98.99038383550864,0.1009616164491367,0.0,51.23529201841093,WLTC,High Efficiency
41,52.57052421784956,-0.8461354158216643,47.832682108435385,27.095698733178356,20.73698337525703,2.695310444680817,98.96964685213338,0.10303531478666242,3.726515493680828,51.559197602116214,Urban,High Efficiency
42,48.265275764176394,-0.08519288269409798,47.407781869959074,32.14637297225349,15.261408897705586,5.084368006359768,98.95438544323567,0.10456145567643299,3.5816820828076157,50.98946395276669,HWFET,Low Efficiency
43,45.48344456616067,-0.40641179516828246,51.24384766907714,25.629582591948328,25.614265077128813,2.894499040924209,98.92877117815854,0.10712288218414585,9.988163452552417,61.232011121629554,Highway,High Efficiency
44,27.822170144488588,0.4140294074466546,41.71706239651601,20.78910652858532,20.92795586793069,2.4970558602488215,98.90784322229061,0.10921567777093892,0.0,41.71706239651601,WLTC,High Efficiency
45,39.20233687407937,0.5355402502014025,51.20198558746055,26.635093722882242,24.566891864578306,4.332289231052988,98.88327633042603,0.11167236695739675,0.0,51.20198558746055,Urban,High Efficiency
46,43.09041843560319,-1.0372431755081557,54.508123363318,33.34874006127228,21.15938330204572,4.267330862992024,98.862116947124,0.11378830528760132,6.232136782009433,60.74026014532743,Highway,High Efficiency
47,65.85683339328374,-0.011017432002135225,52.09686063574488,29.681800322807437,22.415060312937445,3.682399283991048,98.83970188681106,0.11602981131889506,8.018799519550008,60.11566015529489,Urban,High Efficiency
48,55.15427434352692,0.5609307523971261,54.575419340047816,36.98065736401073,17.594761976037084,3.944394564912556,98.82210712483501,0.11778928751649877,0.0,54.575419340047816,HWFET,High Efficiency
49,23.55439766955899,-0.09333948115672248,54.33747609348535,22.149708744518335,32.187767348967014,5.020753584833592,98.78991935748604,0.12100806425139547,6.188922311384751,60.5263984048701,Highway,Low Efficiency
50,54.86125954092192,0.3645318225011822,32.28103317753556,19.770802241980434,12.510230935555128,3.9197556444802713,98.7774091265505,0.122259087344951,0.0,32.28103317753556,WLTC,High Efficiency
51,44.22376579375525,0.17558273381354203,56.368701583954035,28.133523517627726,28.23517806632631,5.106045532497259,98.74917394848417,0.12508260515158365,0.0,56.368701583954035,Highway,Low Efficiency
52,39.84616999541062,0.17083011597631317,43.28985154337546,19.656627026452668,23.633224516922795,4.429297195823999,98.72554072396724,0.12744592760327592,0.0,43.28985154337546,HWFET,High Efficiency
53,59.175144332613016,-0.13565748903414873,39.04160836996042,21.594643150435726,17.446965219524696,5.251475233079984,98.70809375874772,0.1291906241252284,3.0664169767318574,42.10802534669228,Urban,Low Efficiency
54,65.46499283743927,-0.6082904020678548,38.95548172145004,21.48469359241708,17.47078812903296,6.317308348154968,98.69062297061868,0.13093770293813167,4.670959639823826,43.62644136127387,Highway,Low Efficiency
55,63.96920178674298,-0.5607650737125137,54.33541610472529,23.967531818306778,30.367884286418512,6.258871768085893,98.66025508633227,0.13397449136677353,9.271074607455871,63.60649071218116,Urban,Low Efficiency
56,37.41173715166042,0.3546762572276586,47.77425072775147,22.003330133091648,25.770920594659824,6.932315706599125,98.6344841657376,0.13655158342623952,0.0,47.77425072775147,WLTC,Low Efficiency
